path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean
results/raw/pope_lite_llava_smoke\llava15_7b_4bit-pope-cal-fastv-r0.5-n8-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n8-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260616,8,11454661225dfc4f,False,1.0,0.0953164124792521,0.09531641247925207,0.0,0.904683587520748,0.0,-0.0358125601596988,-0.03581256015969883,0.0,0.035812560159698914
results/raw/pope_lite_llava_smoke\llava15_7b_4bit-pope-cal-none-r1-n8-seed20260616.json,llava15_7b_4bit-pope-cal-none-r1-n8-seed20260616,llava15_7b_4bit,pope,cal,none,1.0,none,20260616,8,11454661225dfc4f,False,1.0,0.1311289726389509,0.1311289726389509,0.0,0.868871027361049,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_smoke\llava15_7b_4bit-pope-test-fastv-r0.5-n16-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.5-n16-seed20260616,llava15_7b_4bit,pope,test,fastv,0.5,none,20260616,16,5251b66817d9fd0f,False,0.875,0.12832201090323514,0.1536330537660009,0.15296222874347876,0.8614570444012346,0.0,-0.057674695698772815,-0.06581593051835127,0.04761904761904763,-0.001977003632046004
results/raw/pope_lite_llava_smoke\llava15_7b_4bit-pope-test-none-r1-n16-seed20260616.json,llava15_7b_4bit-pope-test-none-r1-n16-seed20260616,llava15_7b_4bit,pope,test,none,1.0,none,20260616,16,5251b66817d9fd0f,False,0.875,0.18599670660200796,0.21944898428435217,0.10534318112443113,0.8634340480332806,0.0,0.0,0.0,0.0,0.0
