path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,pruner_evidence_type,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_fastv_temp_r05.json,llava_pope_128_512_fastv_temp_r05,llava15_7b_4bit,pope,test,fastv,0.5,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.82421875,0.04839093567582741,0.06745095611196084,0.05979554148061372,0.8348718732949421,literature-hook,False,False,-0.009765625,-0.008051130357050788,0.006207128401168334,0.004120724194714376,-0.01846889869016799,0.0,-0.0072504320284505624,-0.009277252460667781,1.6136088135249027e-06,-0.03581578388724038
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_fastv_calibprune_r075.json,llava_pope_128_512_fastv_calibprune_r075,llava15_7b_4bit,pope,test,fastv,0.75,calibprune,20260616,512,67b1fde61ceba78c,False,0.837890625,0.05624803411679002,0.0690259263456952,0.053882410943609,0.8325081510252501,literature-hook,False,False,,,,,,0.0,0.021763850037260217,0.0005694256632311767,4.418834841632413e-06,-0.029165797675393623
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-fastv-r0.75-n512-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.75-n512-seed20260616,llava15_7b_4bit,pope,test,fastv,0.75,none,20260616,512,67b1fde61ceba78c,False,0.837890625,0.0344841840795298,0.06845650068246402,0.05387799210876737,0.8616739487006437,literature-hook,False,False,0.00390625,-0.011300474219216317,0.005431764582616891,-0.0018280003126838473,0.0006480742524865857,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_fastv_temp_r075.json,llava_pope_128_512_fastv_temp_r075,llava15_7b_4bit,pope,test,fastv,0.75,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.837890625,0.053790576893003095,0.06779723534767217,0.053900506024118895,0.8542026298913368,literature-hook,False,False,0.00390625,-0.0026514891398751045,0.006553407636879664,-0.0017743112617804521,0.0008618579062267262,0.0,0.019306392813473294,-0.0006592653347918531,2.2513915351525526e-05,-0.007471318809306959
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-none-r1-n512-seed20260616.json,llava15_7b_4bit-pope-test-none-r1-n512-seed20260616,llava15_7b_4bit,pope,test,none,1.0,none,20260616,512,67b1fde61ceba78c,False,0.833984375,0.04578465829874612,0.06302473609984713,0.05570599242145122,0.8610258744481571,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_none_temp.json,llava_pope_128_512_none_temp,llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.833984375,0.0564420660328782,0.0612438277107925,0.05567481728589935,0.85334077198511,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.010657407734132082,-0.0017809083890546265,-3.117513555186968e-05,-0.0076851024630471
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_visionzip_calibprune_r025.json,llava_pope_128_512_visionzip_calibprune_r025,llava15_7b_4bit,pope,test,visionzip,0.25,calibprune,20260616,512,67b1fde61ceba78c,False,0.82421875,0.05094899214359499,0.05817383146768611,0.0713568374800886,0.8271790727507699,literature-hook,False,False,,,,,,0.0,0.0017401721151475633,0.003577517947426015,-6.251459800238335e-07,-0.026980008119399268
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-visionzip-r0.25-n512-seed20260616.json,llava15_7b_4bit-pope-test-visionzip-r0.25-n512-seed20260616,llava15_7b_4bit,pope,test,visionzip,0.25,none,20260616,512,67b1fde61ceba78c,False,0.82421875,0.049208820028447425,0.05459631352026009,0.07135746262606862,0.8541590808701691,literature-hook,False,False,-0.009765625,0.0034241617297013083,-0.008428422579587036,0.015651470204617407,-0.0068667935779880285,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_visionzip_temp_r025.json,llava_pope_128_512_visionzip_temp_r025,llava15_7b_4bit,pope,test,visionzip,0.25,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.82421875,0.0627710962337481,0.054792200035731924,0.0713685425505656,0.846232150725934,literature-hook,False,False,-0.009765625,0.006329030200869903,-0.006451627675060578,0.015693725264666253,-0.007108621259175996,0.0,0.013562276205300677,0.00019588651547183117,1.1079924496976146e-05,-0.007926930144235067
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_visionzip_calibprune_r05.json,llava_pope_128_512_visionzip_calibprune_r05,llava15_7b_4bit,pope,test,visionzip,0.5,calibprune,20260616,512,67b1fde61ceba78c,False,0.833984375,0.04702788034437617,0.06121167654221499,0.051323104673989865,0.8461418121110469,literature-hook,False,False,,,,,,0.0,-0.0028438795528660243,-0.001546030796802142,-4.858519900494129e-06,-0.007566975720781466
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-visionzip-r0.5-n512-seed20260616.json,llava15_7b_4bit-pope-test-visionzip-r0.5-n512-seed20260616,llava15_7b_4bit,pope,test,visionzip,0.5,none,20260616,512,67b1fde61ceba78c,False,0.833984375,0.04987175989724219,0.06275770733901713,0.05132796319389036,0.8537087878318284,literature-hook,False,False,0.0,0.004087101598496075,-0.0002670287608299987,-0.004378029227560858,-0.007317086616328794,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_visionzip_temp_r05.json,llava_pope_128_512_visionzip_temp_r05,llava15_7b_4bit,pope,test,visionzip,0.5,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.833984375,0.04987175989724219,0.06275770733901713,0.05132796319389036,0.8537087878318284,literature-hook,False,False,0.0,-0.006570306135636007,0.0015138796282246278,-0.004346854092008988,0.0003680158467183059,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_visionzip_calibprune_r075.json,llava_pope_128_512_visionzip_calibprune_r075,llava15_7b_4bit,pope,test,visionzip,0.75,calibprune,20260616,512,67b1fde61ceba78c,False,0.8359375,0.042150697144459105,0.051507335471471884,0.05335712752474049,0.8685714067691703,literature-hook,False,False,,,,,,0.0,0.0006969282266514679,0.0030004850149977294,9.65610195115263e-07,0.011573955486354093
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-visionzip-r0.75-n512-seed20260616.json,llava15_7b_4bit-pope-test-visionzip-r0.75-n512-seed20260616,llava15_7b_4bit,pope,test,visionzip,0.75,none,20260616,512,67b1fde61ceba78c,False,0.8359375,0.04145376891780764,0.048506850456474154,0.053356161914545376,0.8569974512828162,literature-hook,False,False,0.001953125,-0.00433088938093848,-0.014517885643372974,-0.002349830506905841,-0.004028423165340911,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_visionzip_temp_r075.json,llava_pope_128_512_visionzip_temp_r075,llava15_7b_4bit,pope,test,visionzip,0.75,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.8359375,0.04168573928764242,0.050328707850080256,0.05331261397754743,0.8646906180506436,literature-hook,False,False,0.001953125,-0.014756326745235776,-0.010915119860712245,-0.0023622033083519206,0.011349846065533575,0.0,0.0002319703698347858,0.0018218573936061022,-4.35479369979494e-05,0.007693166767827386
