comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
pyramiddrop r=0.5 raw - unpruned raw,accuracy,0.0009469696969696129,0.0,0.0023674242424243097,2112,1000,0.95,0.0009469696969696869,0.0,0.0014204545454545119,0.0,0.5,2,positive_ece_means_pruning_increases_drift,1.0,False
pyramiddrop r=0.5 raw - unpruned raw,ece,-0.0031611505405220383,-0.007667031244181292,0.0036436519378539155,2112,1000,0.95,0.0009008394152151834,-0.003920578229143559,0.0035826587347875492,2.0,0.75,3,positive_ece_means_pruning_increases_drift,1.0,False
pyramiddrop r=0.5 raw - unpruned raw,adaptive_ece,-0.0019103857668893443,-0.007705054621245127,0.005221976703508869,2112,1000,0.95,0.0009598556550791532,-0.0010471905374048948,0.002743123414108877,3.0,1.0,3,positive_ece_means_pruning_increases_drift,1.0,False
pyramiddrop r=0.5 raw - unpruned raw,aurc,-0.000605752012131755,-0.0009314623428509319,-0.0003011755360999418,2112,1000,0.95,-0.0006395536260249019,-0.0007938964081153008,-0.0005130843489369504,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
pyramiddrop r=0.5 raw - unpruned raw,max_softmax_mean,-8.493152091226808e-05,-0.0002660390946973734,8.502973972270012e-05,2112,1000,0.95,-8.493152091249012e-05,-0.00018773576989516982,9.573399057194454e-05,1.0,0.5,3,positive_ece_means_pruning_increases_drift,1.0,False
