comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
fastv r=0.5 raw - unpruned raw,accuracy,0.01220703125,-0.013671875,0.04052734375,2048,1000,0.95,0.01220703125,-0.00732421875,0.02392578125,2.0,0.375,4,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,ece,-0.028987424849687637,-0.057314471077030985,-0.004846869412023947,2048,1000,0.95,-0.03398571671773776,-0.04792825350490833,-0.009654994039692104,1.0,0.25,4,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,adaptive_ece,-0.030486136997865926,-0.05051210389009696,0.001077755958841185,2048,1000,0.95,-0.023511161372350674,-0.039554617326191574,-0.0029670830276630825,1.0,0.25,4,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,aurc,-0.005956207712588701,-0.036255088087855956,0.022753100379530714,2048,1000,0.95,-0.004855318888814686,-0.026970955724277157,0.032907327692532046,4.0,0.875,4,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,max_softmax_mean,-0.015073609807224275,-0.019652868547669275,-0.010579668669344372,2048,1000,0.95,-0.015073609807224359,-0.02076166091239634,-0.01020350233749917,0.0,0.125,4,positive_ece_means_pruning_increases_drift,0.625,False
