model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,pruner_evidence_type,paper_eligible_all,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,aurc_margin_mean,aurc_margin_std,aurc_entropy_mean,aurc_entropy_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std,pooled_samples,paper_gate_pass,paper_gate_reasons
llava15_7b_4bit,pope,test,fastv,0.5,none,704,3,"20260616,20260617,20260618",literature-hook,True,0.8314393939393939,0.0168203784737989,0.0558796498326526,0.0080963566074401,0.0204829946426679,0.0017386827034439,0.0,0.0,0.0686857559165303,0.0091967837243761,0.0686857559165303,0.0091967837243761,0.0686857559165303,0.0091967837243761,0.0,0.0,0.8715286652176064,0.002459877408256,2112,True,pass
llava15_7b_4bit,pope,test,none,1.0,none,704,3,"20260616,20260617,20260618",unpruned,True,0.8409090909090909,0.0170848660536635,0.0353966551899847,0.0096737239495617,0.0,0.0,0.0,0.0,0.0636781490641809,0.0085952418351234,0.0636781490641809,0.0085952418351234,0.0636781490641809,0.0085952418351234,0.0,0.0,0.8621509198778311,0.0029869870275657,2112,True,pass
llava15_7b_4bit,pope,test,pyramiddrop,0.5,none,704,3,"20260616,20260617,20260618",literature-midlayer-hook,True,0.8418560606060606,0.0169795654138647,0.0362974946051999,0.0070434181500193,0.0009008394152151,0.0034733326160111,0.0,0.0,0.063038595438156,0.0087358708394774,0.063038595438156,0.0087358708394774,0.063038595438156,0.0087358708394774,0.0,0.0,0.8620659883569187,0.0029965728845319,2112,True,pass
llava15_7b_4bit,pope,test,sparsevlm,0.5,none,704,3,"20260616,20260617,20260618",literature-midlayer-hook,True,0.8271780303030303,0.0158316794482012,0.0635708900301246,0.0038517224964223,0.0281742348401398,0.0058246860844675,0.0,0.0,0.0771324628717546,0.0078764289857201,0.0771324628717546,0.0078764289857201,0.0771324628717546,0.0078764289857201,0.0,0.0,0.8720121830200428,0.0020887958179578,2112,True,pass
llava15_7b_4bit,pope,test,visionzip,0.5,none,704,3,"20260616,20260617,20260618",literature-hook,True,0.8404356060606061,0.0220463006189825,0.0469357445107542,0.0052332091819891,0.0115390893207695,0.0060433597734175,0.0,0.0,0.0528001799707973,0.0092663072246901,0.0528001799707973,0.0092663072246901,0.0528001799707973,0.0092663072246901,0.0,0.0,0.8593575417183558,0.0041575661643927,2112,True,pass
llava15_7b_4bit,pope,test,vtw,0.5,none,704,3,"20260616,20260617,20260618",literature-midlayer-hook,True,0.8267045454545454,0.0164429501460088,0.0561105598728359,0.0118342191459517,0.0207139046828512,0.0033846348102275,0.0,0.0,0.0748994633369739,0.0073938684234466,0.0748994633369739,0.0073938684234466,0.0748994633369739,0.0073938684234466,0.0,0.0,0.8687611747320098,0.0025031831038032,2112,True,pass
