comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
fastv r=0.5 raw - unpruned raw,accuracy,-0.009469696969697017,-0.018465909090909064,-0.00046164772727275117,2112,1000,0.95,-0.009469696969697017,-0.014204545454545525,-0.007102272727272781,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,ece,0.019125777002082667,0.00712509425702671,0.03060582406227284,2112,1000,0.95,0.020482994642667948,0.018024132567992922,0.021714068447864474,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,adaptive_ece,0.01848580858887782,0.00011239742785247174,0.028894253752180746,2112,1000,0.95,0.019242934571185494,0.014766914193091833,0.022470552772578294,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,aurc,0.005447646359857339,0.0002300211314942961,0.011853389155649431,2112,1000,0.95,0.005007606852349441,-0.00010008125902295079,0.007180853004005209,1.0,0.5,3,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,max_softmax_mean,0.009377745339775312,0.006648523414373745,0.012145257674997004,2112,1000,0.95,0.009377745339775237,0.008133556317000856,0.01005570174203115,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
