path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_128_512\llava_fastv_calibprune_r075_n512.json,,llava15_7b_4bit,pope,test,fastv,0.75,calibprune,20260616,512,67b1fde61ceba78c,False,0.837890625,0.05624803411679002,0.0690259263456952,0.053882410943609,0.8325081510252501,,,,,,0.0,0.021763850037260217,0.0005694256632311767,4.418834841632413e-06,-0.029165797675393623
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-fastv-r0.75-n512-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.75-n512-seed20260616,llava15_7b_4bit,pope,test,fastv,0.75,none,20260616,512,67b1fde61ceba78c,False,0.837890625,0.0344841840795298,0.06845650068246402,0.05387799210876737,0.8616739487006437,0.00390625,-0.011300474219216317,0.005431764582616891,-0.0018280003126838473,0.0006480742524865857,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava_fastv_temp_r075_n512.json,,llava15_7b_4bit,pope,test,fastv,0.75,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.837890625,0.053790576893003095,0.06779723534767217,0.053900506024118895,0.8542026298913368,0.00390625,-0.0026514891398751045,0.006553407636879664,-0.0017743112617804521,0.0008618579062267262,0.0,0.019306392813473294,-0.0006592653347918531,2.2513915351525526e-05,-0.007471318809306959
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-feature_norm-r0.5-n512-seed20260616.json,llava15_7b_4bit-pope-test-feature_norm-r0.5-n512-seed20260616,llava15_7b_4bit,pope,test,feature_norm,0.5,none,20260616,512,67b1fde61ceba78c,False,0.837890625,0.03058288685294909,0.03848449525719001,0.0636526969515112,0.8591632559211436,0.00390625,-0.015201771445797027,-0.024540240842657116,0.007946704530059981,-0.0018626185270135265,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava_feature_norm_temp_r05_n512.json,,llava15_7b_4bit,pope,test,feature_norm,0.5,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.837890625,0.028282678308106067,0.03686705373455539,0.06365417753240327,0.8440183674847109,0.00390625,-0.028159387724772132,-0.02437677397623711,0.00797936024650392,-0.009322404500399117,0.0,-0.002300208544843023,-0.0016174415226346203,1.4805808920687058e-06,-0.01514488843643269
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-none-r1-n512-seed20260616.json,llava15_7b_4bit-pope-test-none-r1-n512-seed20260616,llava15_7b_4bit,pope,test,none,1.0,none,20260616,512,67b1fde61ceba78c,False,0.833984375,0.04578465829874612,0.06302473609984713,0.05570599242145122,0.8610258744481571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava_none_temp_n512.json,,llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.833984375,0.0564420660328782,0.0612438277107925,0.05567481728589935,0.85334077198511,0.0,0.0,0.0,0.0,0.0,0.0,0.010657407734132082,-0.0017809083890546265,-3.117513555186968e-05,-0.0076851024630471
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-random-r0.5-n512-seed20260616.json,llava15_7b_4bit-pope-test-random-r0.5-n512-seed20260616,llava15_7b_4bit,pope,test,random,0.5,none,20260616,512,67b1fde61ceba78c,False,0.822265625,0.06460377347595009,0.06062113030173133,0.055780694737094225,0.8606753138184087,-0.01171875,0.01881911517720397,-0.0024036057981157988,7.470231564300767e-05,-0.00035056062974847535,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava_random_temp_n512.json,,llava15_7b_4bit,pope,test,random,0.5,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.822265625,0.07018202191284992,0.05982813374397623,0.055803750083846644,0.853055352274501,-0.01171875,0.013739955879971719,-0.0014156939668162685,0.00012893279794729678,-0.00028541971060902505,0.0,0.00557824843689983,-0.0007929965577550963,2.3055346752419437e-05,-0.00761996154390765
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-uniform-r0.5-n512-seed20260616.json,llava15_7b_4bit-pope-test-uniform-r0.5-n512-seed20260616,llava15_7b_4bit,pope,test,uniform,0.5,none,20260616,512,67b1fde61ceba78c,False,0.833984375,0.045464767158130366,0.05225723050541614,0.05767213870815993,0.8638744191538088,0.0,-0.0003198911406157509,-0.010767505594430987,0.0019661462867087143,0.0028485447056516566,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava_uniform_temp_n512.json,,llava15_7b_4bit,pope,test,uniform,0.5,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.833984375,0.045464767158130366,0.05225723050541614,0.05767213870815993,0.8638744191538088,0.0,-0.010977298874747833,-0.00898659720537636,0.001997321422260584,0.010533647168698757,0.0,0.0,0.0,0.0,0.0
