path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean
results/raw/pope_lite_fixture\toy_vlm-pope-cal-fastv-r0.5-n4-seed20260616.json,toy_vlm-pope-cal-fastv-r0.5-n4-seed20260616,toy_vlm,pope,cal,fastv,0.5,none,20260616,4,cbf0816ab91d4e9e,False,0.5,0.49957071312385826,0.49957071312385826,0.39583333333333337,0.7036634517533422,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_fixture\toy_vlm-pope-cal-none-r1-n4-seed20260616.json,toy_vlm-pope-cal-none-r1-n4-seed20260616,toy_vlm,pope,cal,none,1.0,none,20260616,4,cbf0816ab91d4e9e,False,0.5,0.49957071312385826,0.49957071312385826,0.39583333333333337,0.7036634517533422,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_fixture\toy_vlm-pope-test-fastv-r0.5-n6-seed20260616.json,toy_vlm-pope-test-fastv-r0.5-n6-seed20260616,toy_vlm,pope,test,fastv,0.5,none,20260616,6,c239188d90ca4d7d,False,0.5,0.5912690522241288,0.5912690522241288,0.6833333333333335,0.6842682588257665,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_fixture\toy_vlm-pope-test-none-r1-n6-seed20260616.json,toy_vlm-pope-test-none-r1-n6-seed20260616,toy_vlm,pope,test,none,1.0,none,20260616,6,c239188d90ca4d7d,False,0.5,0.5912690522241288,0.5912690522241288,0.6833333333333335,0.6842682588257665,0.0,0.0,0.0,0.0,0.0
