model,dataset,pruner,retention,metric,estimate,ci_low,ci_high,n_samples,n_seeds,seeds,n_resamples,confidence,seed_delta_mean,seed_delta_std,seed_delta_min,seed_delta_max,one_minus_retention,interpretation
llava15_7b_4bit,aokvqa,fastv,0.5,max_softmax_mean_shift,0.0036467036146246097,-0.0011348508441085903,0.008305853716617025,1145,1,20260616,1000,0.95,0.0036467036146246097,0.0,0.0036467036146246097,0.0036467036146246097,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,aokvqa,fastv,0.5,max_softmax_median_shift,0.0008468985984376731,0.0005525328162711007,0.001285656685219072,1145,1,20260616,1000,0.95,0.0008468985984376731,0.0,0.0008468985984376731,0.0008468985984376731,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,aokvqa,fastv,0.5,max_softmax_q95_shift,0.00014053143763603781,-2.585483448750701e-05,0.0004967620670706718,1145,1,20260616,1000,0.95,0.00014053143763603781,0.0,0.00014053143763603781,0.00014053143763603781,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,aokvqa,fastv,0.5,entropy_mean_shift,-0.00843699180634882,-0.01631513839291869,-0.000643170195687928,1145,1,20260616,1000,0.95,-0.00843699180634882,0.0,-0.00843699180634882,-0.00843699180634882,0.5,negative means pruning sharpens confidence
llava15_7b_4bit,aokvqa,fastv,0.5,margin_mean_shift,0.005433197009302387,-0.0029665658124442846,0.013712407459918868,1145,1,20260616,1000,0.95,0.005433197009302387,0.0,0.005433197009302387,0.005433197009302387,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,aokvqa,fastv,0.5,logit_l2_mean_shift,0.07940696774245619,0.05701264921241722,0.10233030178892831,1145,1,20260616,1000,0.95,0.07940696774245619,0.0,0.07940696774245619,0.07940696774245619,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,aokvqa,fastv,0.5,logit_l2_ratio_mean_minus_1,0.0360913646311356,0.02663303179146524,0.04718030927534625,1145,1,20260616,1000,0.95,0.0360913646311356,0.0,0.0360913646311356,0.0360913646311356,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,aokvqa,fastv,0.5,alpha_pooled_minus_1,0.0037280227049287795,-0.0020840370226911367,0.009456307728152934,1145,1,20260616,1000,0.95,0.0037280227049287795,0.0,0.0037280227049287795,0.0037280227049287795,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,aokvqa,fastv,0.5,scale_residual_rel_norm,0.1718739395426576,0.15784162653294156,0.18748281142775686,1145,1,20260616,1000,0.95,0.1718739395426576,0.0,0.1718739395426576,0.1718739395426576,0.5,smaller means scalar-scale model explains pruning better
