model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,pruner_evidence_type,paper_eligible_all,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,aurc_margin_mean,aurc_margin_std,aurc_entropy_mean,aurc_entropy_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std,pooled_samples,paper_gate_pass,paper_gate_reasons
llava15_7b_4bit,pope,test,pyramiddrop,0.5,none,1,1,20260616,literature-midlayer-hook,False,0.0,0.0,0.8267117940706734,0.0,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8267117940706734,0.0,1,False,n_seeds=1<min_seeds=3; pooled_samples=1<min_pooled_samples=2000
llava15_7b_4bit,pope,test,sparsevlm,0.5,none,1,1,20260616,literature-midlayer-hook,False,0.0,0.0,0.9196425311777928,0.0,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9196425311777928,0.0,1,False,n_seeds=1<min_seeds=3; pooled_samples=1<min_pooled_samples=2000
llava15_7b_4bit,pope,test,vtw,0.5,none,1,1,20260616,literature-midlayer-hook,False,0.0,0.0,0.9314625069680096,0.0,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9314625069680096,0.0,1,False,n_seeds=1<min_seeds=3; pooled_samples=1<min_pooled_samples=2000
