model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,pruner_evidence_type,paper_eligible_all,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,aurc_margin_mean,aurc_margin_std,aurc_entropy_mean,aurc_entropy_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std,pooled_samples,paper_gate_pass,paper_gate_reasons
qwen2vl_2b,pope,test,fastv,0.5,none,512,4,"20260616,20260617,20260618,20260619",literature-hook,False,0.50927734375,0.0108195897491017,0.1295096620596124,0.0123893015234491,-0.0339857167177377,0.0204742216018088,0.0,0.0,0.4850799393897063,0.0194770748747408,0.4850799393897063,0.0194770748747408,0.4850799393897063,0.0194770748747408,0.0,0.0,0.6387247841355382,0.0044315095900748,2048,True,pass
qwen2vl_2b,pope,test,none,1.0,none,512,4,"20260616,20260617,20260618,20260619",unpruned,False,0.4970703125,0.0141180002878915,0.1634953787773501,0.0189616065356348,0.0,0.0,0.0,0.0,0.4899352582785209,0.0295446865915969,0.4899352582785209,0.0295446865915969,0.4899352582785209,0.0295446865915969,0.0,0.0,0.6537983939427626,0.0037427860920429,2048,True,pass
