model,dataset,pruner,retention,metric,estimate,ci_low,ci_high,n_samples,n_seeds,seeds,n_resamples,confidence,seed_delta_mean,seed_delta_std,seed_delta_min,seed_delta_max,one_minus_retention,interpretation
qwen2vl_2b,pope,fastv,0.5,max_softmax_mean_shift,-0.015073609807224412,-0.019427489703292587,-0.010178848248680908,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,-0.015073609807224414,0.005904147131481887,-0.02157960454784325,-0.008728236487267267,0.5,positive means pruning sharpens confidence
qwen2vl_2b,pope,fastv,0.5,max_softmax_median_shift,-0.02202829038368903,-0.028854152798011977,-0.015486324035749066,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,-0.021862801986277172,0.01023211273407165,-0.03405731574762977,-0.012825222874437325,0.5,positive means pruning sharpens confidence
qwen2vl_2b,pope,fastv,0.5,max_softmax_q95_shift,0.04708964466361443,0.03255891194587726,0.06338243428202961,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,0.048105851064947386,0.009314395938409582,0.03556745666288241,0.05776916018878253,0.5,positive means pruning sharpens confidence
qwen2vl_2b,pope,fastv,0.5,entropy_mean_shift,-0.0009232079043611609,-0.004815974185642121,0.0026385379455228803,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,-0.0009232079043611609,0.0034498819269771553,-0.00468423574720358,0.002733944560985621,0.5,negative means pruning sharpens confidence
qwen2vl_2b,pope,fastv,0.5,margin_mean_shift,-0.030147219614448828,-0.03885497940658518,-0.020357696497361816,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,-0.030147219614448828,0.011808294262963778,-0.0431592090956865,-0.01745647297453453,0.5,positive means pruning sharpens confidence
qwen2vl_2b,pope,fastv,0.5,logit_l2_mean_shift,-0.03242542502076526,-0.04769782448213043,-0.014660899265690322,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,-0.03242542502076526,0.018457586069447043,-0.05281505880597153,-0.012580665693107824,0.5,positive means pruned logits have larger scale
qwen2vl_2b,pope,fastv,0.5,logit_l2_ratio_mean_minus_1,1105933305.5115457,10654723.718787607,2427793344.732711,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,1105933305.5115454,1293956708.4912736,0.7470561440577872,2977927728.913751,0.5,positive means pruned logits have larger scale
qwen2vl_2b,pope,fastv,0.5,alpha_pooled_minus_1,-0.4711989553154534,-0.5143481207067995,-0.4308656406442998,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,-0.4731253359878104,0.04562633850324858,-0.5389565036448638,-0.44209592178176194,0.5,positive means pruned logits have larger scale
qwen2vl_2b,pope,fastv,0.5,scale_residual_rel_norm,0.8657204866888737,0.846739227236823,0.8843097244754705,2048,4,"20260616,20260617,20260618,20260619",1000,0.95,0.8657118121044691,0.02446298683588164,0.8392300858239898,0.8974515967301898,0.5,smaller means scalar-scale model explains pruning better
