comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
visionzip r=0.5 raw - unpruned raw,accuracy,-0.00047348484848486194,-0.009943181818181879,0.008522727272727293,2112,1000,0.95,-0.00047348484848486194,-0.005681818181818232,0.0042613636363636465,3.0,1.0,3,positive_ece_means_pruning_increases_drift,1.0,False
visionzip r=0.5 raw - unpruned raw,ece,0.002874046851072256,-0.00974693235183959,0.019011099102024257,2112,1000,0.95,0.011539089320769566,0.0061627838684438635,0.016145134431496237,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
visionzip r=0.5 raw - unpruned raw,adaptive_ece,0.010804202129862238,-0.009524283005730433,0.019912651642616682,2112,1000,0.95,0.012583684428551527,0.00630272412455872,0.01762952072713873,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
visionzip r=0.5 raw - unpruned raw,aurc,-0.01070117036513521,-0.014758639334067685,-0.0067448792932967355,2112,1000,0.95,-0.010877969093383616,-0.011648144235277234,-0.010330796668429336,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
visionzip r=0.5 raw - unpruned raw,max_softmax_mean,-0.002793378159475335,-0.005220506356681085,-0.00041668234290702946,2112,1000,0.95,-0.0027933781594753717,-0.005673370558929469,-0.0017043663236070428,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
