model,dataset,pruner,retention,metric,estimate,ci_low,ci_high,n_samples,n_seeds,seeds,n_resamples,confidence,seed_delta_mean,seed_delta_std,seed_delta_min,seed_delta_max,one_minus_retention,interpretation
qwen2vl_2b,aokvqa,fastv,0.5,max_softmax_mean_shift,0.10188429344372847,0.09313534304978698,0.11029225517675192,1145,1,20260628,1000,0.95,0.10188429344372847,0.0,0.10188429344372847,0.10188429344372847,0.5,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,max_softmax_median_shift,0.09521094050401202,0.0846242986838312,0.10257901348313675,1145,1,20260628,1000,0.95,0.09521094050401202,0.0,0.09521094050401202,0.09521094050401202,0.5,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,max_softmax_q95_shift,0.1407319327044776,0.1154542882883731,0.1629870790918513,1145,1,20260628,1000,0.95,0.1407319327044776,0.0,0.1407319327044776,0.1407319327044776,0.5,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,entropy_mean_shift,-0.16695452908385183,-0.1780110265078858,-0.15597953866325687,1145,1,20260628,1000,0.95,-0.16695452908385183,0.0,-0.16695452908385183,-0.16695452908385183,0.5,negative means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,margin_mean_shift,0.12176252298487214,0.10753775183937866,0.13469507273958814,1145,1,20260628,1000,0.95,0.12176252298487214,0.0,0.12176252298487214,0.12176252298487214,0.5,positive means pruning sharpens confidence
qwen2vl_2b,aokvqa,fastv,0.5,logit_l2_mean_shift,0.643135394890966,0.6095279818282158,0.6765179186421413,1145,1,20260628,1000,0.95,0.643135394890966,0.0,0.643135394890966,0.643135394890966,0.5,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.5,logit_l2_ratio_mean_minus_1,0.5890859020148784,0.5524243391345077,0.6297748218035325,1145,1,20260628,1000,0.95,0.5890859020148784,0.0,0.5890859020148784,0.5890859020148784,0.5,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.5,alpha_pooled_minus_1,0.21057826996729134,0.1822253357628297,0.2386758226610064,1145,1,20260628,1000,0.95,0.21057826996729134,0.0,0.21057826996729134,0.21057826996729134,0.5,positive means pruned logits have larger scale
qwen2vl_2b,aokvqa,fastv,0.5,scale_residual_rel_norm,0.5603616502820407,0.5441511652159053,0.5757569500508142,1145,1,20260628,1000,0.95,0.5603616502820407,0.0,0.5603616502820407,0.5603616502820407,0.5,smaller means scalar-scale model explains pruning better
