comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
vtw r=0.5 raw - unpruned raw,accuracy,-0.014204545454545525,-0.02320075757575757,-0.00519649621212126,2112,1000,0.95,-0.014204545454545489,-0.02556818181818188,-0.008049242424242467,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
vtw r=0.5 raw - unpruned raw,ece,0.014610731032298197,0.0038223054081217454,0.02569961055273166,2112,1000,0.95,0.02071390468285127,0.01636880318190151,0.02346608164503881,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
vtw r=0.5 raw - unpruned raw,adaptive_ece,0.019220328626181962,-9.00299403230216e-05,0.0268872627932327,2112,1000,0.95,0.022323295457483044,0.015069519101853557,0.028245627765433125,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
vtw r=0.5 raw - unpruned raw,aurc,0.011308430668172664,0.00699698787379372,0.015731322909932777,2112,1000,0.95,0.011221314272792987,0.009701179298385584,0.012625561963243636,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
vtw r=0.5 raw - unpruned raw,max_softmax_mean,0.006610254854178543,0.004067553580832562,0.00905060544251839,2112,1000,0.95,0.00661025485417847,0.0058394526917360245,0.007038804608118528,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
