comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
sparsevlm r=0.5 raw - unpruned raw,accuracy,0.0023640661938534313,-0.0009456264775413725,0.006146572104018921,2115,1000,0.95,0.0023640661938534313,0.0014184397163120588,0.0023640661938534313,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
sparsevlm r=0.5 raw - unpruned raw,ece,-0.004623338745837761,-0.0098099157383545,0.008401559998835443,2115,1000,0.95,0.005077477113977109,-0.00028539733060111566,0.00876575551404827,1.0,0.5,3,positive_ece_means_pruning_increases_drift,1.0,False
sparsevlm r=0.5 raw - unpruned raw,adaptive_ece,0.0043876534360125855,-0.011028660934382711,0.012977498998023832,2115,1000,0.95,0.002683235615197293,-0.004905319486436237,0.0072243141175024434,2.0,0.75,3,positive_ece_means_pruning_increases_drift,1.0,False
sparsevlm r=0.5 raw - unpruned raw,aurc,-0.002464969316490921,-0.003543566995670212,-0.0014238659633669026,2115,1000,0.95,-0.0026801116991846097,-0.003018305629688106,-0.0023972548021994797,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
sparsevlm r=0.5 raw - unpruned raw,max_softmax_mean,0.0008900871419338374,0.0001473487366014798,0.0015793515814760987,2115,1000,0.95,0.0008900871419337634,0.00021920227586169627,0.0013196640938341053,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
