comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
fastv r=0.5 raw - unpruned raw,accuracy,0.01236979166666663,-0.017578125,0.046223958333333315,1536,1000,0.95,0.012369791666666666,-0.013671875,0.027994791666666668,1.0,0.5,3,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,ece,-0.02527473656035148,-0.05729651004873198,-9.371710626985764e-05,1536,1000,0.95,-0.030342809255985124,-0.05020086139018772,0.0011037951094996223,1.0,0.5,3,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,adaptive_ece,-0.023552232164180786,-0.04796772046724599,0.005744672595477197,1536,1000,0.95,-0.022867700804812863,-0.044258975409934065,-0.006035409852526143,1.0,0.5,3,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,aurc,-0.0012230642934106806,-0.03723341419801916,0.033061571351863155,1536,1000,0.95,-0.00034516674477473125,-0.035556136127619764,0.027691657777237293,3.0,1.0,3,positive_ece_means_pruning_increases_drift,1.0,False
fastv r=0.5 raw - unpruned raw,max_softmax_mean,-0.012904944893684767,-0.01858922638447186,-0.00736389626991627,1536,1000,0.95,-0.012904944893684767,-0.01830783000605596,-0.00971174705408854,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
