path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-cal-fastv-r0.25-n64-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.25-n64-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.25,none,20260616,64,ceca91ea8f351f2b,False,0.75,0.19890338499434562,0.22335221824085755,0.1670170074742049,0.8756318457269375,-0.078125,0.09601873287527501,0.05719854404506658,0.04641722105341167,-0.0019117867342667294,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-cal-fastv-r0.5-n64-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n64-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260616,64,ceca91ea8f351f2b,False,0.8125,0.08399234403327074,0.11920079584745916,0.11809301596062738,0.8812215035404157,-0.015625,-0.018892308085799864,-0.04695287834833181,-0.0025067704601658414,0.00367787107921147,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-cal-fastv-r0.75-n64-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.75-n64-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.75,none,20260616,64,ceca91ea8f351f2b,False,0.84375,0.07421896165348718,0.1088898737227713,0.11201652384534677,0.8785433732760051,0.015625,-0.028665690465583427,-0.05726380047301967,-0.008583262575446449,0.0009997408148008091,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-cal-none-r1-n64-seed20260616.json,llava15_7b_4bit-pope-cal-none-r1-n64-seed20260616,llava15_7b_4bit,pope,cal,none,1.0,none,20260616,64,ceca91ea8f351f2b,False,0.828125,0.10288465211907061,0.16615367419579097,0.12059978642079322,0.8775436324612043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-cal-random-r0.5-n64-seed20260616.json,llava15_7b_4bit-pope-cal-random-r0.5-n64-seed20260616,llava15_7b_4bit,pope,cal,random,0.5,none,20260616,64,ceca91ea8f351f2b,False,0.828125,0.11631099847185047,0.14776804808731497,0.09962633540555156,0.8767089649151625,0.0,0.013426346352779867,-0.018385626108475994,-0.02097345101524166,-0.0008346675460417785,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-cal-uniform-r0.5-n64-seed20260616.json,llava15_7b_4bit-pope-cal-uniform-r0.5-n64-seed20260616,llava15_7b_4bit,pope,cal,uniform,0.5,none,20260616,64,ceca91ea8f351f2b,False,0.84375,0.07509602027897769,0.11091750124167876,0.09075775601386972,0.8779263831386185,0.015625,-0.02778863184009292,-0.055236172954112206,-0.0298420304069235,0.0003827506774142231,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava_fastv_calibprune_r025_n256.json,,llava15_7b_4bit,pope,test,fastv,0.25,calibprune,20260616,256,640212a41eab823c,False,0.76953125,0.05721431519597745,0.09893799521142878,0.10329338419231238,0.8092673267863741,,,,,,0.0,-0.03902753928980463,-0.019807053987783763,1.761213463931377e-05,-0.04792073777950767
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-test-fastv-r0.25-n256-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.25-n256-seed20260616,llava15_7b_4bit,pope,test,fastv,0.25,none,20260616,256,640212a41eab823c,False,0.76953125,0.09624185448578208,0.11874504919921254,0.10327577205767306,0.8571880645658818,-0.04296875,0.03567766662514002,0.027770386572530184,0.04583831913907552,0.013412511211160494,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava_fastv_calibprune_r05_n256.json,,llava15_7b_4bit,pope,test,fastv,0.5,calibprune,20260616,256,640212a41eab823c,False,0.796875,0.06387768885172214,0.08517818355910617,0.06813717290923589,0.8096729730545584,,,,,,0.0,-0.016826800708246867,-0.004760558232207918,-1.6412815126043423e-05,-0.041698517915370714
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-test-fastv-r0.5-n256-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.5-n256-seed20260616,llava15_7b_4bit,pope,test,fastv,0.5,none,20260616,256,640212a41eab823c,False,0.796875,0.080704489559969,0.08993874179131409,0.06815358572436193,0.8513714909699291,-0.015625,0.020140301699326943,-0.0010359208353682703,0.010716132805764389,0.007595937615207826,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava_fastv_temp_n256.json,,llava15_7b_4bit,pope,test,fastv,0.5,temperature_scaling,20260616,256,640212a41eab823c,False,0.796875,0.08587409348666952,0.0870626188156527,0.06815358572436193,0.7908781750438938,-0.015625,0.01141124300746399,-0.010296813069318844,0.010746413813516327,-0.002989622468389852,0.0,0.005169603926700517,-0.00287612297566138,0.0,-0.06049331592603535
results/raw/pope_lite_llava_64_256\llava_fastv_calibprune_r075_n256.json,,llava15_7b_4bit,pope,test,fastv,0.75,calibprune,20260616,256,640212a41eab823c,False,0.8125,0.0567748074308493,0.07302835891351932,0.05771244550823071,0.8069791386817897,,,,,,0.0,0.006744506616349559,0.005815490360348716,0.0,-0.03558980699970671
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-test-fastv-r0.75-n256-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.75-n256-seed20260616,llava15_7b_4bit,pope,test,fastv,0.75,none,20260616,256,640212a41eab823c,False,0.8125,0.05003030081449974,0.0672128685531706,0.05771244550823071,0.8425689456814964,0.0,-0.010533887046142325,-0.023761794073511755,0.0002749925896331634,-0.001206607673224891,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-test-none-r1-n256-seed20260616.json,llava15_7b_4bit-pope-test-none-r1-n256-seed20260616,llava15_7b_4bit,pope,test,none,1.0,none,20260616,256,640212a41eab823c,False,0.8125,0.06056418786064206,0.09097466262668236,0.057437452918597545,0.8437755533547213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava_none_temp_n256.json,,llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,20260616,256,640212a41eab823c,False,0.8125,0.07446285047920553,0.09735943188497155,0.05740717191084561,0.7938677975122836,0.0,0.0,0.0,0.0,0.0,0.0,0.01389866261856347,0.006384769258289194,-3.0281007751938038e-05,-0.04990775584243767
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-test-random-r0.5-n256-seed20260616.json,llava15_7b_4bit-pope-test-random-r0.5-n256-seed20260616,llava15_7b_4bit,pope,test,random,0.5,none,20260616,256,640212a41eab823c,False,0.79296875,0.08479583175815354,0.07466735392094531,0.05996187303715178,0.8449238999177167,-0.01953125,0.02423164389751148,-0.016307308705737045,0.0025244201185542353,0.0011483465629953393,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava_random_temp_n256.json,,llava15_7b_4bit,pope,test,random,0.5,temperature_scaling,20260616,256,640212a41eab823c,False,0.79296875,0.06737684132887088,0.07662512139185702,0.059938482318588907,0.8017349977948234,-0.01953125,-0.007086009150334652,-0.020734310493114527,0.0025313104077432994,0.007867200282539732,0.0,-0.01741899042928266,0.0019577674709117115,-2.3390718562874002e-05,-0.04318890212289328
results/raw/pope_lite_llava_64_256\llava15_7b_4bit-pope-test-uniform-r0.5-n256-seed20260616.json,llava15_7b_4bit-pope-test-uniform-r0.5-n256-seed20260616,llava15_7b_4bit,pope,test,uniform,0.5,none,20260616,256,640212a41eab823c,False,0.81640625,0.046459873972379516,0.05866312535175361,0.05918872315152753,0.847083729568744,0.00390625,-0.014104313888262547,-0.03231153727492875,0.001751270232929987,0.0033081762140226845,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_64_256\llava_uniform_temp_n256.json,,llava15_7b_4bit,pope,test,uniform,0.5,temperature_scaling,20260616,256,640212a41eab823c,False,0.81640625,0.04869714755699597,0.06225474912383952,0.05912551836958986,0.8107362616063148,0.00390625,-0.02576570292220956,-0.03510468276113203,0.0017183464587442535,0.0168684640940312,0.0,0.0022372735846164574,0.003591623772085911,-6.32047819376716e-05,-0.03634746796242916
