path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,pruner_evidence_type,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/aokvqa_lite_llava_fastv_32_64\llava15_7b_4bit-aokvqa-cal-fastv-r0.5-n32-seed20260616.json,llava15_7b_4bit-aokvqa-cal-fastv-r0.5-n32-seed20260616,llava15_7b_4bit,aokvqa,cal,fastv,0.5,none,20260616,32,1de1a12a98f1f0b8,False,0.65625,0.21664016725941135,0.22068647750380394,0.15873956448353155,0.7809162568985548,literature-hook,False,False,0.0,-0.030360862695626156,0.03572857030974452,0.013539919654558474,0.011685986719745967,0.0,0.0,0.0,0.0,0.0
results/raw/aokvqa_lite_llava_fastv_32_64\llava15_7b_4bit-aokvqa-cal-none-r1-n32-seed20260616.json,llava15_7b_4bit-aokvqa-cal-none-r1-n32-seed20260616,llava15_7b_4bit,aokvqa,cal,none,1.0,none,20260616,32,1de1a12a98f1f0b8,False,0.65625,0.2470010299550375,0.1849579071940594,0.14519964482897307,0.7692302701788089,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/aokvqa_lite_llava_fastv_32_64\llava15_7b_4bit-aokvqa-test-fastv-r0.5-n64-seed20260616.json,llava15_7b_4bit-aokvqa-test-fastv-r0.5-n64-seed20260616,llava15_7b_4bit,aokvqa,test,fastv,0.5,none,20260616,64,b3c2f761ffe98d22,False,0.734375,0.1790077976658639,0.16242789462114787,0.08382028682689999,0.872708843890497,literature-hook,False,False,-0.03125,0.044264564903116616,0.03685952716391799,-0.006784613112146176,0.01003418381007759,0.0,0.0,0.0,0.0,0.0
results/raw/aokvqa_lite_llava_fastv_32_64\llava15_7b_4bit-aokvqa-test-none-r1-n64-seed20260616.json,llava15_7b_4bit-aokvqa-test-none-r1-n64-seed20260616,llava15_7b_4bit,aokvqa,test,none,1.0,none,20260616,64,b3c2f761ffe98d22,False,0.765625,0.13474323276274727,0.12556836745722988,0.09060489993904616,0.8626746600804194,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
