comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
sparsevlm r=0.5 raw - unpruned raw,accuracy,-0.013731060606060663,-0.021780303030302983,-0.004734848484848508,2112,1000,0.95,-0.013731060606060589,-0.026988636363636354,-0.0061553030303030205,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
sparsevlm r=0.5 raw - unpruned raw,ece,0.015520786133068652,0.006475071586082469,0.02883569319431234,2112,1000,0.95,0.028174234840139877,0.020624572825882433,0.03290022914536112,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
sparsevlm r=0.5 raw - unpruned raw,adaptive_ece,0.026330643233962794,0.004331689617096219,0.031687639601454494,2112,1000,0.95,0.023892712570467153,0.017376401104277024,0.02794139893810336,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
sparsevlm r=0.5 raw - unpruned raw,aurc,0.013679698845774635,0.008993066999032838,0.019669861331455187,2112,1000,0.95,0.013454313807573726,0.008908192272380613,0.016661298458317386,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
sparsevlm r=0.5 raw - unpruned raw,max_softmax_mean,0.009861263142211696,0.00731369521039327,0.012211276726888003,2112,1000,0.95,0.009861263142211621,0.00913050427837414,0.010583973452247005,0.0,0.25,3,positive_ece_means_pruning_increases_drift,1.0,False
